Sucursal,NombreSucursal,SucursalCP,Delegacion,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SCORE_CLIENTE,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,101051,0,Alto,0,97,0,59,Propia,Licenciatura
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Rechazada,Rechazado,MALO,0,,,73606,0,Alto,0,99,0,59,Familiares,Licenciatura
7768,PLAZA ORIENTE,7420,Gustavo A. Madero,Pendiente,Pre-Aprobado,MALO,1,,,91814,0,Alto,0,130,0,59,Renta,Preparatoria
7661,CIUDAD JUDICIAL,6720,Cuauhtemoc,Aprobada,Aprobado,REGULAR,4300,817,0.81,91562,76800,Medio ,0.19,194,58368,59,Renta,Preparatoria
7661,CIUDAD JUDICIAL,6720,Cuauhtemoc,Aprobada,Aprobado,BUENO,7000,7350,-0.05,101961,0,Bajo,1.05,205,0,59,Familiares,Preparatoria
66,BARRANCA DEL MUERTO,3900,Benito Juarez,Aprobada,Aprobado,REGULAR,2999,960,0.68,94616,0,Mínimo,0.32,205,0,59,Propia,Preparatoria
477,TORRES LINDAVISTA,7700,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,83112,0,Alto,0,90,0,60,Renta,Posgrado
41,REFORMA DIANA,6600,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,110978,33500,Alto,0,100,24851,60,Propia,Licenciatura
45,AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,4999,4599,0.08,110592,0,Bajo,0.92,206,0,60,Familiares,Licenciatura
6,TACUBAYA,11870,Miguel Hidalgo,Aprobada,Aprobado,BUENO,49999,33999,0.32,100920,73500,Mínimo,0.68,234,0,60,Hipoteca,Preparatoria
